Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,??,31200,0.472,0.4713,0.037,0.0005,0.0131,0.0004,0.0001,0.0001,0.0008,0.0035,0.0003,0.0003,
??,???,31710,0.3882,0.5673,0.0255,0.0005,0.0128,0.0003,0.0001,0.0003,0.001,0.0026,0.0003,0.0005,
??,???,36110,0.5191,0.4414,0.0294,0.0004,0.0069,0.0002,0.0001,0.0002,0.0005,0.0007,0.0002,0.0003,
??,??????,41111,0.5044,0.4584,0.0261,0.0006,0.0072,0.0001,0.0001,0.0002,0.0009,0.001,0.0002,0.0003,
??,??????,41113,0.5199,0.4431,0.0247,0.0005,0.0085,0.0002,0.0001,0.0002,0.0008,0.0009,0.0002,0.0004,
??,??????,41115,0.4894,0.4728,0.0253,0.0005,0.0088,0.0002,0.0001,0.0002,0.0008,0.001,0.0002,0.0003,
??,??????,41117,0.4829,0.4822,0.0269,0.0005,0.0051,0.0001,0,0.0001,0.0005,0.0006,0.0001,0.0002,
??,??????,41131,0.5398,0.4308,0.0195,0.0003,0.0056,0.0001,0.0001,0.0002,0.0006,0.0019,0.0001,0.0004,
??,??????,41133,0.5724,0.3969,0.0198,0.0004,0.006,0.0001,0.0001,0.0001,0.0006,0.0022,0.0002,0.0004,
??,??????,41135,0.4234,0.55,0.021,0.0003,0.003,0.0001,0,0.0002,0.0006,0.0005,0.0001,0.0002,
??,????,41150,0.5291,0.4351,0.0231,0.0005,0.0079,0.0001,0.0001,0.0002,0.0007,0.002,0.0002,0.0003,
??,??????,41171,0.5121,0.4532,0.0241,0.0004,0.0068,0.0002,0.0001,0.0002,0.0008,0.0008,0.0002,0.0004,
??,??????,41173,0.4895,0.4771,0.0259,0.0003,0.0047,0.0002,0.0001,0.0001,0.0006,0.0005,0.0001,0.0003,
??,???,41190,0.5397,0.4244,0.025,0.0006,0.0072,0.0002,0.0001,0.0002,0.0006,0.0009,0.0002,0.0004,
??,???,41210,0.525,0.442,0.024,0.0004,0.0056,0.0002,0.0001,0.0001,0.0007,0.0007,0.0002,0.0003,
??,???,41220,0.4944,0.4664,0.0237,0.0004,0.0112,0.0003,0.0001,0.0002,0.0006,0.0015,0.0002,0.0004,
??,????,41250,0.4996,0.4634,0.0197,0.0004,0.0113,0.0002,0.0001,0.0003,0.001,0.0024,0.0004,0.0005,
??,??????,41271,0.5517,0.4116,0.0231,0.0007,0.0095,0.0002,0.0001,0.0002,0.0006,0.001,0.0002,0.0004,
??,??????,41273,0.5418,0.4216,0.0238,0.0007,0.0089,0.0002,0.0001,0.0001,0.0007,0.0009,0.0002,0.0004,
??,??????,41281,0.521,0.4364,0.0331,0.0005,0.006,0.0002,0.0001,0.0002,0.0006,0.001,0.0001,0.0002,
??,???????,41285,0.496,0.4697,0.0257,0.0004,0.0057,0.0002,0,0.0002,0.0006,0.0006,0.0001,0.0002,
??,???????,41287,0.5085,0.4578,0.0254,0.0005,0.0052,0.0002,0,0.0002,0.0006,0.0007,0.0001,0.0003,
??,???,41290,0.3923,0.5759,0.0244,0.0005,0.0042,0.0003,0.0001,0.0003,0.0005,0.0005,0.0001,0.0002,
??,???,41310,0.501,0.4647,0.0238,0.0002,0.0069,0.0002,0.0001,0.0002,0.0008,0.0009,0.0002,0.0004,
??,????,41360,0.5232,0.4442,0.022,0.0004,0.0072,0.0002,0.0001,0.0002,0.0007,0.0008,0.0002,0.0003,
??,???,41370,0.5443,0.4167,0.025,0.0004,0.0106,0.0002,0,0.0001,0.0005,0.001,0.0001,0.0004,
??,???,41390,0.5669,0.3988,0.0224,0.0004,0.0085,0.0001,0.0001,0.0001,0.0006,0.0009,0.0001,0.0004,
??,???,41410,0.5229,0.4423,0.0253,0.0004,0.0065,0.0002,0.0001,0.0002,0.0006,0.0006,0.0001,0.0003,
??,???,41430,0.49,0.4771,0.0242,0.0004,0.0056,0.0002,0.0001,0.0001,0.0006,0.0007,0.0001,0.0003,
??,???,41450,0.4875,0.4826,0.0222,0.0003,0.0049,0.0001,0.0001,0.0001,0.0005,0.0007,0.0001,0.0001,
??,??????,41461,0.498,0.4664,0.0224,0.0004,0.0095,0.0002,0.0001,0.0002,0.0006,0.001,0.0002,0.0004,
??,??????,41463,0.4986,0.4719,0.0218,0.0003,0.0051,0.0001,0.0001,0.0002,0.0005,0.0006,0.0001,0.0002,
??,??????,41465,0.4547,0.5183,0.0214,0.0003,0.0033,0.0001,0.0001,0.0002,0.0005,0.0003,0.0001,0.0002,
??,???,41480,0.533,0.4299,0.0243,0.0005,0.0087,0.0003,0.0001,0.0002,0.0007,0.0011,0.0002,0.0004,
??,???,41500,0.4668,0.4974,0.0219,0.0004,0.0099,0.0002,0.0001,0.0002,0.0005,0.0011,0.0003,0.0004,
??,???,41550,0.4884,0.4719,0.0249,0.0007,0.0106,0.0002,0.0001,0.0002,0.0006,0.0013,0.0002,0.0004,
??,???,41570,0.5107,0.4561,0.023,0.0003,0.0072,0.0001,0.0001,0.0002,0.0006,0.0007,0.0002,0.0002,
??,???,41590,0.5269,0.439,0.024,0.0003,0.0074,0.0001,0.0001,0.0001,0.0004,0.0007,0.0002,0.0003,
??,???,41610,0.5354,0.4345,0.0188,0.0004,0.0077,0.0001,0.0001,0.0002,0.0005,0.0012,0.0002,0.0003,
??,???,41630,0.5212,0.442,0.0219,0.0004,0.0102,0.0002,0.0001,0.0002,0.0007,0.0019,0.0002,0.0004,
??,???,41650,0.4662,0.4976,0.02,0.0005,0.0111,0.0002,0.0001,0.0002,0.0011,0.0016,0.0004,0.0005,
??,???,41670,0.4266,0.5383,0.0202,0.0005,0.0101,0.0002,0.0001,0.0002,0.001,0.0011,0.0005,0.0006,
??,???,41800,0.4207,0.5367,0.0211,0.0005,0.014,0.0002,0.0001,0.0004,0.0022,0.0017,0.0007,0.0009,
??,???,41820,0.3967,0.5676,0.0207,0.0007,0.0095,0.0003,0.0001,0.0004,0.0011,0.001,0.0007,0.0007,
??,???,41830,0.4164,0.5518,0.0201,0.0004,0.0076,0.0002,0.0001,0.0003,0.0009,0.0006,0.0004,0.0005,
??,???,42110,0.4451,0.5129,0.0286,0.0006,0.0095,0.0004,0.0001,0.0001,0.0005,0.001,0.0003,0.0003,
??,???,42130,0.4502,0.5065,0.0272,0.0006,0.0115,0.0002,0.0001,0.0002,0.001,0.0011,0.0003,0.0004,
??,???,42150,0.3872,0.5731,0.0244,0.0005,0.0107,0.0002,0.0002,0.0002,0.0008,0.0012,0.0003,0.0005,
??,???,42170,0.4019,0.5571,0.0238,0.0004,0.0132,0.0002,0.0001,0.0002,0.001,0.0009,0.0004,0.0003,
??,???,42190,0.4041,0.5626,0.0182,0.0004,0.0109,0.0002,0,0.0001,0.0007,0.0008,0.0006,0.0006,
