Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,???,45140,0.8239,0.1495,0.0163,0.0004,0.0071,0.0002,0.0001,0.0001,0.0002,0.0008,0.0002,0.0008,
??,???,45180,0.8528,0.122,0.0139,0.0004,0.0063,0.0003,0.0002,0.0002,0.0002,0.0009,0.0005,0.0017,
??,???,45190,0.8467,0.1277,0.013,0.0007,0.0065,0.0006,0.0002,0.0001,0.0003,0.0008,0.0006,0.0022,
??,???,45210,0.8512,0.1245,0.013,0.0006,0.0069,0.0002,0,0.0002,0.0002,0.0005,0.0004,0.0016,
??,???,45710,0.8389,0.1339,0.0168,0.0003,0.0065,0.0003,0.0001,0.0001,0.0002,0.0008,0.0002,0.0012,
??,???,45720,0.837,0.1376,0.0141,0.0004,0.0049,0.0005,0.0001,0.0003,0.0003,0.0006,0.001,0.0025,
??,???,45730,0.7697,0.1984,0.0181,0.0008,0.0078,0.0004,0.0001,0.0001,0.0002,0.0008,0.0007,0.0024,
??,???,45740,0.8436,0.1283,0.0138,0.0008,0.007,0.0005,0.0002,0.0001,0.0001,0.0008,0.0004,0.0037,
??,???,45750,0.8516,0.1215,0.0127,0.0008,0.0061,0.0004,0,0.0003,0.0002,0.0006,0.001,0.0044,
??,???,45770,0.8624,0.1123,0.0116,0.0006,0.0053,0.0007,0.0001,0.0002,0.0003,0.0019,0.001,0.0031,
??,???,45790,0.8609,0.113,0.0135,0.0003,0.0054,0.0005,0.0002,0.0003,0.0002,0.001,0.0007,0.0035,
??,???,45800,0.8497,0.1251,0.0127,0.0003,0.0062,0.0003,0.0001,0.0002,0.0004,0.0007,0.0005,0.003,
??,???,46110,0.8723,0.1035,0.014,0.0004,0.0069,0.0003,0,0.0001,0.0001,0.001,0.0001,0.0006,
??,???,46130,0.8603,0.1167,0.012,0.0004,0.0072,0.0002,0.0001,0.0001,0.0001,0.0009,0.0002,0.0012,
??,???,46150,0.8512,0.1241,0.0145,0.0003,0.0063,0.0003,0.0001,0.0002,0.0001,0.0015,0.0002,0.0006,
??,???,46170,0.8578,0.1182,0.0126,0.0003,0.0061,0.0003,0.0002,0.0002,0.0002,0.0016,0.0004,0.0015,
??,???,46230,0.8135,0.1582,0.0155,0.0004,0.0086,0.0001,0.0001,0.0001,0.0002,0.0015,0.0002,0.0009,
??,???,46710,0.8757,0.1,0.0115,0.0005,0.0059,0.0004,0.0001,0.0002,0.0004,0.0013,0.0007,0.0028,
??,???,46720,0.8529,0.1161,0.0148,0.001,0.0064,0.0006,0.0002,0.0003,0.0003,0.0017,0.0009,0.0041,
??,???,46730,0.8511,0.124,0.0122,0.0006,0.006,0.0005,0,0.0003,0.0001,0.0024,0.0002,0.0021,
??,???,46770,0.8666,0.1096,0.0108,0.0007,0.0056,0.0005,0.0002,0.0002,0.0001,0.0012,0.0006,0.0032,
??,???,46780,0.8685,0.1068,0.011,0.0007,0.0061,0.0004,0.0001,0.0004,0.0002,0.0024,0.0004,0.0025,
??,???,46790,0.8783,0.098,0.0106,0.0004,0.0059,0.0004,0.0001,0.0003,0.0001,0.0028,0.0005,0.002,
??,???,46800,0.8786,0.0952,0.0112,0.0005,0.0059,0.0004,0.0002,0.0002,0.0002,0.0032,0.0005,0.0033,
??,???,46810,0.8532,0.1219,0.012,0.0009,0.0057,0.0006,0.0002,0.0004,0.0002,0.0017,0.0006,0.0021,
??,???,46820,0.8783,0.0979,0.0106,0.0006,0.006,0.0005,0.0001,0.0001,0.0003,0.002,0.0005,0.0026,
??,???,46830,0.8627,0.1106,0.014,0.0007,0.0072,0.0003,0.0001,0.0001,0.0002,0.001,0.0004,0.002,
??,???,46840,0.8677,0.1084,0.0132,0.0004,0.0059,0.0003,0.0002,0.0001,0.0003,0.001,0.0003,0.0017,
